Ansible Automation Platform Node Metrics Report
AAP Instance: https://aap.example.com
Generated: 2026-02-20 14:39:30 UTC

================================================================================
Subscription Details
================================================================================

Field                              | Value                                             
-----------------------------------+ --------------------------------------------------
Status                             | Out of compliance — You have automated against more hosts than your subscription allows.
Subscription type                  | redacted
Subscription (SKU)                 | redacted
Trial                              | False
Hosts remaining                    | 0
Hosts imported                     | 983
Hosts automated                    | 800 since 10/14/2025, 05:16:13 PM
Hosts deleted                      | 0
Active hosts previously deleted    | 1
Expires on                         | 01/01/2027, 04:59:59 AM
Expires on UTC                     | 01/01/2027, 04:59:59 AM UTC
Days remaining                     | 314
Automation controller version      | 4.5.30

================================================================================
Organization Node and Subscription Metrics
================================================================================

Organization Name                       | Max Nodes         | Unique Nodes      | Shared Nodes      | Unique Subs       | Shared Subs       
host896                  | Yes (consuming)               | DUMMY_ORG39                                       | 2026-02-19                  | 1       |         
host897                  | Yes (consuming)               | DUMMY_ORG21                                       | 2026-02-19                  | 1       |         
host898                  | Yes (consuming)               | DUMMY_ORG25                                       | 2026-02-19                  | 1       |         
host899                  | Yes (consuming)               | DUMMY_ORG36                                       | 2026-02-19                  | 1       |         
host9                    | Yes (consuming)               | DUMMY_ORG36                                       | 2026-02-19                  | 1       |         
host90                   | Yes (consuming)               | DUMMY_ORG28                                       | 2026-02-19                  | 1       |         
host900                  | Yes (consuming)               | DUMMY_ORG15                                       | 2026-02-19                  | 1       |         
host901                  | No (not consuming)            | DUMMY_ORG13                                       |                             |         |         
host902                  | No (not consuming)            | DUMMY_ORG03                                       |                             |         |         
host903                  | Yes (consuming)               | DUMMY_ORG06                                       | 2026-02-19                  | 1       |         
host904                  | Yes (consuming)               | DUMMY_ORG37                                       | 2026-02-19                  | 1       |         
host905                  | Yes (consuming)               | DUMMY_ORG02                                       | 2026-02-19                  | 1       |         
host906                  | Yes (consuming)               | DUMMY_ORG25                                       | 2026-02-19                  | 1       |         
host907                  | Yes (consuming)               | DUMMY_ORG36                                       | 2026-02-19                  | 1       |         
host908                  | Yes (consuming)               | DUMMY_ORG07                                       | 2026-02-19                  | 1       |         
host909                  | Yes (consuming)               | DUMMY_ORG28                                       | 2026-02-19                  | 1       |         
host91                   | No (not consuming)            | DUMMY_ORG29                                       |                             |         |         
host910                  | Yes (consuming)               | DUMMY_ORG25                                       | 2026-02-19                  | 1       |         
host911                  | Yes (consuming)               | DUMMY_ORG30                                       | 2026-02-19                  | 1       |         
host912                  | Yes (consuming)               | DUMMY_ORG31                                       | 2026-02-19                  | 1       |         
host913                  | Yes (consuming)               | DUMMY_ORG37                                       | 2026-02-19                  | 1       |         
host914                  | Yes (consuming)               | DUMMY_ORG08                                       | 2026-02-19                  | 1       |         
host915                  | Yes (consuming)               | DUMMY_ORG36                                       | 2026-02-19                  | 1       |         
host916                  | Yes (consuming)               | DUMMY_ORG27                                       | 2026-02-19                  | 1       |         
host917                  | No (not consuming)            | DUMMY_ORG05                                       |                             |         |         
host918                  | Yes (consuming)               | DUMMY_ORG20                                       | 2026-02-19                  | 1       |         
host919                  | Yes (consuming)               | DUMMY_ORG01                                       | 2026-02-19                  | 3       |         
host92                   | Yes (consuming)               | DUMMY_ORG35                                       | 2026-02-19                  | 1       |         
host920                  | No (not consuming)            | DUMMY_ORG33                                       |                             |         |         
host921                  | Yes (consuming)               | DUMMY_ORG21                                       | 2026-02-19                  | 1       |         
host922                  | Yes (consuming)               | DUMMY_ORG01                                       | 2026-02-19                  | 3       |         
host923                  | Yes (consuming)               | DUMMY_ORG12                                       | 2026-02-19                  | 1       |         
host924                  | Yes (consuming)               | DUMMY_ORG07                                       | 2026-02-19                  | 1       |         
host925                  | Yes (consuming)               | DUMMY_ORG18                                       | 2026-02-19                  | 1       |         
host926                  | Yes (consuming)               | DUMMY_ORG09                                       | 2026-02-19                  | 1       |         
host927                  | Yes (consuming)               | DUMMY_ORG36                                       | 2026-02-19                  | 1       |         
host928                  | Yes (consuming)               | DUMMY_ORG33                                       | 2026-02-19                  | 1       |         
host929                  | Yes (consuming)               | DUMMY_ORG34                                       | 2026-02-19                  | 1       |         
host93                   | Yes (consuming)               | DUMMY_ORG21                                       | 2026-02-19                  | 1       |         
host930                  | Yes (consuming)               | DUMMY_ORG36                                       | 2026-02-19                  | 1       |         
host931                  | Yes (consuming)               | DUMMY_ORG18                                       | 2026-02-19                  | 1       |         
host932                  | Yes (consuming)               | DUMMY_ORG40                                       | 2026-02-19                  | 1       |         
host933                  | Yes (consuming)               | DUMMY_ORG11                                       | 2026-02-19                  | 1       |         
host934                  | Yes (consuming)               | DUMMY_ORG03                                       | 2026-02-19                  | 1       |         
host935                  | No (not consuming)            | DUMMY_ORG38                                       |                             |         |         
host936                  | No (not consuming)            | DUMMY_ORG40                                       |                             |         |         
host937                  | Yes (consuming)               | DUMMY_ORG12                                       | 2026-02-19                  | 1       |         
host938                  | Yes (consuming)               | DUMMY_ORG38                                       | 2026-02-19                  | 1       |         
host939                  | Yes (consuming)               | DUMMY_ORG32                                       | 2026-02-19                  | 1       |         
host94                   | Yes (consuming)               | DUMMY_ORG11                                       | 2026-02-19                  | 1       |         
host940                  | No (not consuming)            | DUMMY_ORG37                                       |                             |         |         
host941                  | Yes (consuming)               | DUMMY_ORG26                                       | 2026-02-19                  | 1       |         
host942                  | No (not consuming)            | DUMMY_ORG21                                       |                             |         |         
host943                  | Yes (consuming)               | DUMMY_ORG15                                       | 2026-02-19                  | 1       |         
host944                  | Yes (consuming)               | DUMMY_ORG28                                       | 2026-02-19                  | 1       |         
host945                  | Yes (consuming)               | DUMMY_ORG05                                       | 2026-02-19                  | 1       |         
host946                  | Yes (consuming)               | DUMMY_ORG28                                       | 2026-02-19                  | 1       |         
host947                  | Yes (consuming)               | DUMMY_ORG06                                       | 2026-02-19                  | 1       |         
host948                  | Yes (consuming)               | DUMMY_ORG28                                       | 2026-02-19                  | 1       |         
host949                  | No (not consuming)            | DUMMY_ORG21                                       |                             |         |         
host95                   | Yes (consuming)               | DUMMY_ORG24                                       | 2026-02-19                  | 1       |         
host950                  | Yes (consuming)               | DUMMY_ORG26, DUMMY_ORG29                          | 2026-02-19                  | 1       |         
host951                  | Yes (consuming)               | DUMMY_ORG08, DUMMY_ORG14, DUMMY_ORG30             | 2026-02-19                  | 1       |         
host952                  | Yes (consuming)               | DUMMY_ORG04, DUMMY_ORG28                          | 2026-02-19                  | 1       |         
host953                  | Yes (consuming)               | DUMMY_ORG16, DUMMY_ORG27, DUMMY_ORG34             | 2026-02-19                  | 2       |         
host954                  | Yes (consuming)               | DUMMY_ORG15, DUMMY_ORG34                          | 2026-02-19                  | 1       |         
host955                  | Yes (consuming)               | DUMMY_ORG04, DUMMY_ORG21, DUMMY_ORG24             | 2026-02-19                  | 2       |         
host956                  | Yes (consuming)               | DUMMY_ORG08, DUMMY_ORG34                          | 2026-02-19                  | 1       |         
host957                  | Yes (consuming)               | DUMMY_ORG11, DUMMY_ORG15, DUMMY_ORG29             | 2026-02-19                  | 1       |         
host958                  | Yes (consuming)               | DUMMY_ORG21, DUMMY_ORG37                          | 2026-02-19                  | 2       |         
host959                  | Yes (consuming)               | DUMMY_ORG11, DUMMY_ORG32, DUMMY_ORG34             | 2026-02-19                  | 2       |         
host96                   | Yes (consuming)               | DUMMY_ORG12                                       | 2026-02-19                  | 1       |         
host960                  | Yes (consuming)               | DUMMY_ORG26, DUMMY_ORG40                          | 2026-02-19                  | 1       |         
host961                  | Yes (consuming)               | DUMMY_ORG16, DUMMY_ORG26, DUMMY_ORG28             | 2026-02-19                  | 2       |         
host962                  | No (not consuming)            | DUMMY_ORG03, DUMMY_ORG16                          |                             |         |         
host963                  | Yes (consuming)               | DUMMY_ORG04, DUMMY_ORG32, DUMMY_ORG39             | 2026-02-19                  | 1       |         
host964                  | Yes (consuming)               | DUMMY_ORG22, DUMMY_ORG36                          | 2026-02-19                  | 1       |         
host965                  | Yes (consuming)               | DUMMY_ORG03, DUMMY_ORG12, DUMMY_ORG40             | 2026-02-19                  | 1       |         
host966                  | Yes (consuming)               | DUMMY_ORG25, DUMMY_ORG35                          | 2026-02-19                  | 1       |         
host967                  | Yes (consuming)               | DUMMY_ORG10, DUMMY_ORG18, DUMMY_ORG29             | 2026-02-19                  | 1       |         
host968                  | Yes (consuming)               | DUMMY_ORG31, DUMMY_ORG40                          | 2026-02-19                  | 1       |         
host969                  | Yes (consuming)               | DUMMY_ORG10, DUMMY_ORG30, DUMMY_ORG40             | 2026-02-19                  | 1       |         
host97                   | No (not consuming)            | DUMMY_ORG10                                       |                             |         |         
host970                  | Yes (consuming)               | DUMMY_ORG05, DUMMY_ORG32                          | 2026-02-19                  | 1       |         
host971                  | Yes (consuming)               | DUMMY_ORG17, DUMMY_ORG23, DUMMY_ORG39             | 2026-02-19                  | 1       |         
host972                  | Yes (consuming)               | DUMMY_ORG18, DUMMY_ORG24                          | 2026-02-19                  | 1       |         
host973                  | Yes (consuming)               | DUMMY_ORG01, DUMMY_ORG02, DUMMY_ORG40             | 2026-02-19                  | 3       |         
host974                  | Yes (consuming)               | DUMMY_ORG16, DUMMY_ORG19                          | 2026-02-19                  | 1       |         
host975                  | Yes (consuming)               | DUMMY_ORG11, DUMMY_ORG14, DUMMY_ORG35             | 2026-02-19                  | 1       |         
host976                  | Yes (consuming)               | DUMMY_ORG21, DUMMY_ORG40                          | 2026-02-19                  | 1       |         
host977                  | Yes (consuming)               | DUMMY_ORG01, DUMMY_ORG08, DUMMY_ORG35             | 2026-02-19                  | 1       |         
host978                  | Yes (consuming)               | DUMMY_ORG10, DUMMY_ORG13                          | 2026-02-19                  | 1       |         
host979                  | Yes (consuming)               | DUMMY_ORG26, DUMMY_ORG28, DUMMY_ORG37             | 2026-02-19                  | 1       |         
host98                   | No (not consuming)            | DUMMY_ORG40                                       |                             |         |         
host980                  | Yes (consuming)               | DUMMY_ORG10, DUMMY_ORG18                          | 2026-02-19                  | 1       |         
host981                  | Yes (consuming)               | DUMMY_ORG05, DUMMY_ORG14, DUMMY_ORG26             | 2026-02-19                  | 1       |         
host982                  | Yes (consuming)               | DUMMY_ORG21, DUMMY_ORG29                          | 2026-02-19                  | 2       |         
host983                  | Yes (consuming)               | DUMMY_ORG01, DUMMY_ORG05, DUMMY_ORG11             | 2026-02-19                  | 4       |         
host984                  | Yes (consuming)               | DUMMY_ORG01, DUMMY_ORG13                          | 2026-02-19                  | 3       |         
host985                  | Yes (consuming)               | DUMMY_ORG03, DUMMY_ORG16, DUMMY_ORG24             | 2026-02-19                  | 1       |         
host986                  | Yes (consuming)               | DUMMY_ORG22, DUMMY_ORG28                          | 2026-02-19                  | 1       |         
host987                  | Yes (consuming)               | DUMMY_ORG05, DUMMY_ORG06, DUMMY_ORG39             | 2026-02-19                  | 1       |         
host988                  | Yes (consuming)               | DUMMY_ORG06, DUMMY_ORG28                          | 2026-02-19                  | 1       |         
host989                  | Yes (consuming)               | DUMMY_ORG02, DUMMY_ORG03, DUMMY_ORG30             | 2026-02-19                  | 1       |         
host99                   | Yes (consuming)               | DUMMY_ORG40                                       | 2026-02-19                  | 1       |         
host990                  | Yes (consuming)               | DUMMY_ORG09, DUMMY_ORG37                          | 2026-02-19                  | 1       |         
host991                  | Yes (consuming)               | DUMMY_ORG04, DUMMY_ORG08, DUMMY_ORG32             | 2026-02-19                  | 2       |         
host992                  | Yes (consuming)               | DUMMY_ORG23, DUMMY_ORG38                          | 2026-02-19                  | 1       |         
host993                  | Yes (consuming)               | DUMMY_ORG23, DUMMY_ORG25, DUMMY_ORG29             | 2026-02-19                  | 2       |         
host994                  | Yes (consuming)               | DUMMY_ORG22, DUMMY_ORG33                          | 2026-02-19                  | 1       |         
host995                  | Yes (consuming)               | DUMMY_ORG02, DUMMY_ORG05, DUMMY_ORG21             | 2026-02-19                  | 2       |         
host996                  | Yes (consuming)               | DUMMY_ORG06, DUMMY_ORG18                          | 2026-02-19                  | 1       |         
host997                  | Yes (consuming)               | DUMMY_ORG11, DUMMY_ORG33, DUMMY_ORG34             | 2026-02-19                  | 1       |         
host998                  | Yes (consuming)               | DUMMY_ORG04, DUMMY_ORG40                          | 2026-02-19                  | 1       |         
host999                  | Yes (consuming)               | DUMMY_ORG09, DUMMY_ORG13, DUMMY_ORG27             | 2026-02-19                  | 1       |         
localhost                | Yes (consuming)               | Default, DEMOLab                                  | 2025-10-14                  | 15      |         

================================================================================
Orphaned Nodes
================================================================================

Nodes that are currently consuming a subscription but do not belong to any organization.

Node Name                | First Automation            | Last Automation             | Last Deleted                | Auto Cnt| Del Cnt 
-------------------------+ ----------------------------+ ----------------------------+ ----------------------------+ --------+ --------
host1                    | 2026-02-19                  | 2026-02-19                  |                             | 1       |         
host104                  | 2026-02-19                  | 2026-02-19                  |                             | 1       |         
host107                  | 2026-02-19                  | 2026-02-19                  |                             | 1       |         
host117                  | 2026-02-19                  | 2026-02-19                  |                             | 1       |         
host126                  | 2026-02-19                  | 2026-02-19                  |                             | 1       |         
host130                  | 2026-02-19                  | 2026-02-19                  | 2026-02-19                  | 2       | 1       
host137                  | 2026-02-19                  | 2026-02-19                  |                             | 1       |         
host141                  | 2026-02-19                  | 2026-02-19                  |                             | 1       |         
host151                  | 2026-02-19                  | 2026-02-19                  |                             | 1       |         
host155                  | 2026-02-19                  | 2026-02-19                  |                             | 1       |         
host167                  | 2026-02-19                  | 2026-02-19                  |                             | 1       |         
host178                  | 2026-02-19                  | 2026-02-19                  |                             | 1       |         
host190                  | 2026-02-19                  | 2026-02-19                  |                             | 1       |         
host194                  | 2026-02-19                  | 2026-02-19                  |                             | 1       |         

================================================================================
Notes
================================================================================

- Unique Nodes: Nodes that exist only in this organization
- Shared Nodes: Nodes that exist in multiple organizations
- Unique Subscriptions: Subscription-consuming nodes (from node_metrics) that exist only in this organization
- Shared Subscriptions: Subscription-consuming nodes (from node_metrics) that exist in multiple organizations
